handle,name,party,start,end,kind,notes
geertwilderspvv,Geert Wilders,PVV,2017-03-23,2025-11-12,leader,PVV politiek leider since 2006 (tweets only from 2016)
thierrybaudet,Thierry Baudet,FvD,2017-03-23,2025-01-13,leader,handed FvD leadership to Lidewij de Vos on 4 Sep 2025; window per Onboarding doc
lidewij_devos,Lidewij de Vos,FvD,2025-09-04,2025-11-12,leader,FvD fractievoorzitter/politiek leider since 4 Sep 2025 (succeeded Baudet)
sybrandbuma,Sybrand Buma,CDA,2017-03-23,2019-05-21,leader,politiek leider from 30 Jun 2012 (CDA fractievoorzitter from 12 Oct 2010); left to be mayor
LodewijkA,Lodewijk Asscher,PvdA,2017-03-23,2021-01-14,leader,lijsttrekker 9 Dec 2016; resigned 14 Jan 2021 (toeslagenaffaire)
PloumenLilianne,Lilianne Ploumen,PvdA,2021-01-23,2022-04-12,leader,elected 23 Jan 2021; stepped down 12 Apr 2022
Estherouwehand,Esther Ouwehand,PvdD,2023-10-09,2025-11-12,leader,window per professors' frame (9 Oct 2023 onward); partijleider since Oct 2019; account locked as of Jul 2026 — scrapes return nothing
mariannethieme,Marianne Thieme,PvdD,2017-03-23,2019-09-29,leader,PvdD co-founder/politiek leider until 29 Sep 2019 (succeeded by Ouwehand); per professors' frame 23 Mar 2017 - 29 Sep 2019
JesseKlaver,Jesse Klaver,GroenLinks,2017-03-23,2023-10-27,leader,GL leader 12 May 2015 to GL-PvdA merger 27 Oct 2023
JesseKlaver,Jesse Klaver,GroenLinks-PvdA,2025-11-03,2025-11-12,leader,second tenure; took over GL-PvdA from Timmermans 3 Nov 2025 until the merger
SigridKaag,Sigrid Kaag,D66,2020-09-04,2023-08-12,leader,politiek leider 4 Sep 2020 to 12 Aug 2023 (handover to Jetten)
MarijnissenL,Lilian Marijnissen,SP,2017-12-13,2023-12-09,leader,politiek leider 13 Dec 2017; stepped down 12 Dec 2023 after seat loss; window per Onboarding doc
Gertjansegers,Gert-Jan Segers,ChristenUnie,2017-03-23,2023-01-17,leader,partijleider 10 Nov 2015 to 17 Jan 2023
Attjekuiken,Attje Kuiken,PvdA,2022-04-22,2023-10-27,leader,politiek leider 11 Jun 2022 to GL-PvdA merger 27 Oct 2023; window per Onboarding doc
hugodejonge,Hugo de Jonge,CDA,2019-07-15,2020-12-11,leader,CDA vice-leader/lijsttrekker window per professors' frame: 15 Jul 2019 to 11 Dec 2020
wbhoekstra,Wopke Hoekstra,CDA,2020-12-11,2023-08-14,leader,CDA leader 11 Dec 2020 to 14 Aug 2023 (left for European Commission)
Eerdmans,Joost Eerdmans,JA21,2021-03-31,2025-11-12,leader,JA21 politiek leider since 18 Dec 2020; window per Onboarding doc
DassenLaurens,Laurens Dassen,Volt,2021-03-31,2025-11-12,leader,Volt lijsttrekker since 6 Jun 2020; window per Onboarding doc
jimmydijk,Jimmy Dijk,SP,2023-12-13,2025-11-12,leader,de facto SP politiek leider since 13 Dec 2023
dilanyesilgoz,Dilan Yesilgoz,VVD,2023-08-14,2025-11-12,leader,VVD lijsttrekker since 14 Aug 2023; still incumbent (verify if she stays post-2025)
Robjetten,Rob Jetten,D66,2023-08-12,2025-11-12,leader,D66 partijleider since 12 Aug 2023; PM since 23 Feb 2026
PieterOmtzigt,Pieter Omtzigt,NSC,2021-09-15,2025-04-18,leader,independent MP (Lid Omtzigt) from 15 Sep 2021; NSC leader 19 Aug 2023; left politics 18 Apr 2025 (burnout)
Nvanvroonhoven,Nicolien van Vroonhoven,NSC,2025-04-18,2025-09-01,leader,NSC leader after Omtzigt
vanHijum,Eddy van Hijum,NSC,2025-09-02,2025-11-12,leader,NSC lijsttrekker 2 Sep 2025 until the party lost all seats at the 2025 election
emileroemer,Emile Roemer,SP,2017-03-23,2017-12-13,leader,SP politiek leider until 13 Dec 2017 (handover to Marijnissen)
F__Timmermans,Frans Timmermans,GroenLinks-PvdA,2023-08-22,2025-10-29,leader,GL-PvdA lijsttrekker 22 Aug 2023; stepped down 29 Oct 2025 after election loss
HenriBontenbal,Henri Bontenbal,CDA,2023-09-05,2025-11-12,leader,CDA lijsttrekker since 14 Aug 2023; window per Onboarding doc
mirjambikker,Mirjam Bikker,ChristenUnie,2023-01-17,2025-11-12,leader,CU politiek leider since 17 Jan 2023
markrutte,Mark Rutte,VVD,2017-03-23,2023-08-14,leader,VVD politiek leider 31 May 2006; PM 2010-2024; succeeded as party leader by Yesilgoz 14 Aug 2023
keesvdstaaij,Kees van der Staaij,SGP,2017-03-23,2023-09-05,leader,SGP fractievoorzitter from 2010; stepped down 25 Aug 2023 (succeeded by Stoffer); window per Onboarding doc
chris_stoffer,Chris Stoffer,SGP,2023-09-05,2025-11-12,leader,SGP politiek leider/lijsttrekker since 25 Aug 2023; window per Onboarding doc
lientje1967,Caroline van der Plas,BBB,2021-03-31,2025-11-12,leader,BBB founder/leader; entered Tweede Kamer 31 Mar 2021; window per Onboarding doc
tunahankuzu,Tunahan Kuzu,DENK,2017-03-23,2020-03-20,leader,DENK co-founder & fractievoorzitter from 2015 (leadership rotated with Azarkan
StephanvBaarle,Stephan van Baarle,DENK,2023-08-02,2025-11-12,leader,DENK politiek leider/lijsttrekker since 3 Aug 2023; window per Onboarding doc
HenkKrol,Henk Krol,50PLUS,2017-03-23,2020-05-03,leader,50PLUS fractievoorzitter through 2017 election; left the party May 2020
SylvanaBIJ1,Sylvana Simons,BIJ1,2021-03-31,2023-12-06,leader,BIJ1 founder/leader; window set to the BIJ1 seat period (entered TK 31 Mar 2021
VVD,VVD,VVD,2017-03-23,2025-11-12,party,33/34/24/22 seats (2017/2021/2023/2025)
GroenLinks,GroenLinks,GroenLinks,2017-03-23,2025-11-12,party,14/8 seats 2017/2021; joint GL-PvdA list from 2023; merged into PRO 13 Jun 2026
PvdA,PvdA,PvdA,2017-03-23,2025-11-12,party,9/9 seats 2017/2021; joint GL-PvdA list from 2023; merged into PRO 13 Jun 2026
SPnl,SP,SP,2017-03-23,2025-11-12,party,14/9/5/3 seats (2017/2021/2023/2025)
cdavandaag,CDA,CDA,2017-03-23,2025-11-12,party,19/15/5/18 seats (2017/2021/2023/2025)
ChristenUnie,ChristenUnie,ChristenUnie,2017-03-23,2025-11-12,party,5/5/3/3 seats (2017/2021/2023/2025)
VoltNederland,Volt,Volt,2021-03-31,2025-11-12,party,entered 2021 (3 seats); 2/1 seats 2023/2025
PartijvdDieren,Partij voor de Dieren,PvdD,2017-03-23,2025-11-12,party,5/6/3/3 seats (2017/2021/2023/2025)
fvdemocratie,Forum voor Democratie,FvD,2017-03-23,2025-11-12,party,entered at 2017 election (2 seats); 8/3/7 seats 2021/2023/2025
denknl,DENK,DENK,2017-03-23,2025-11-12,party,3 seats every election 2017-2025; seated since 2014 (Groep Kuzu/Ozturk)
D66,D66,D66,2017-03-23,2025-11-12,party,19/24/9/26 seats (2017/2021/2023/2025)
SGPnieuws,SGP,SGP,2017-03-23,2025-11-12,party,3 seats every election 2017-2025
BoerBurgerB,BBB,BBB,2021-03-31,2025-11-12,party,entered 2021 (1 seat); 7/4 seats 2023/2025
JuisteAntwoord,JA21,JA21,2021-03-31,2025-11-12,party,entered 2021 (3 seats); 1/9 seats 2023/2025
NwSocContract,NSC,NSC,2023-12-06,2025-11-12,party,entered 2023 (20 seats; Omtzigt); lost all seats at 2025 election
50pluspartij,50PLUS,50PLUS,2017-03-23,2021-05-06,party,4 seats 2017; sole 2021 MP Den Haan left party 6 May 2021; window per Onboarding doc
PolitiekBIJ1,BIJ1,BIJ1,2021-03-31,2023-12-06,party,entered 2021 (1 seat; Simons); lost seat at 2023 election
