handle,name,party,leader_start,leader_end,notes
geertwilderspvv,Geert Wilders,PVV,2006-02-22,ongoing,PVV politiek leider since 2006 (tweets only from 2016)
thierrybaudet,Thierry Baudet,FvD,2016-09-22,2025-01-13,handed FvD leadership to Lidewij de Vos on 4 Sep 2025; window per Onboarding doc
lidewij_devos,Lidewij de Vos,FvD,2025-09-04,ongoing,FvD fractievoorzitter/politiek leider since 4 Sep 2025 (succeeded Baudet)
sybrandbuma,Sybrand Buma,CDA,2012-06-30,2019-05-21,politiek leider from 30 Jun 2012 (CDA fractievoorzitter from 12 Oct 2010); left to be mayor
LodewijkA,Lodewijk Asscher,PvdA,2016-12-09,2021-01-14,lijsttrekker 9 Dec 2016; resigned 14 Jan 2021 (toeslagenaffaire)
PloumenLilianne,Lilianne Ploumen,PvdA,2021-01-23,2022-04-12,elected 23 Jan 2021; stepped down 12 Apr 2022
Estherouwehand,Esther Ouwehand,PvdD,2023-10-09,2026-06-04,window per professors' frame (9 Oct 2023 onward); partijleider since Oct 2019; account locked as of Jul 2026 — scrapes return nothing
mariannethieme,Marianne Thieme,PvdD,2006-11-30,2019-09-29,PvdD co-founder/politiek leider until 29 Sep 2019 (succeeded by Ouwehand); per professors' frame 23 Mar 2017 - 29 Sep 2019
JesseKlaver,Jesse Klaver,GroenLinks,2015-05-12,2023-10-27,GL leader 12 May 2015 to GL-PvdA merger 27 Oct 2023
JesseKlaver,Jesse Klaver,GroenLinks-PvdA,2025-11-03,2026-06-13,second tenure; took over GL-PvdA from Timmermans 3 Nov 2025 until the merger
SigridKaag,Sigrid Kaag,D66,2020-09-04,2023-08-12,politiek leider 4 Sep 2020 to 12 Aug 2023 (handover to Jetten)
MarijnissenL,Lilian Marijnissen,SP,2017-12-13,2023-12-09,politiek leider 13 Dec 2017; stepped down 12 Dec 2023 after seat loss; window per Onboarding doc
Gertjansegers,Gert-Jan Segers,ChristenUnie,2015-11-10,2023-01-17,partijleider 10 Nov 2015 to 17 Jan 2023
Attjekuiken,Attje Kuiken,PvdA,2022-04-22,2023-10-27,politiek leider 11 Jun 2022 to GL-PvdA merger 27 Oct 2023; window per Onboarding doc
hugodejonge,Hugo de Jonge,CDA,2019-07-15,2020-12-11,CDA vice-leader/lijsttrekker window per professors' frame: 15 Jul 2019 to 11 Dec 2020
wbhoekstra,Wopke Hoekstra,CDA,2020-12-11,2023-08-14,CDA leader 11 Dec 2020 to 14 Aug 2023 (left for European Commission)
Eerdmans,Joost Eerdmans,JA21,2021-03-31,ongoing,JA21 politiek leider since 18 Dec 2020; window per Onboarding doc
DassenLaurens,Laurens Dassen,Volt,2021-03-31,ongoing,Volt lijsttrekker since 6 Jun 2020; window per Onboarding doc
jimmydijk,Jimmy Dijk,SP,2023-12-13,ongoing,de facto SP politiek leider since 13 Dec 2023
dilanyesilgoz,Dilan Yesilgoz,VVD,2023-08-14,ongoing,VVD lijsttrekker since 14 Aug 2023; still incumbent (verify if she stays post-2025)
Robjetten,Rob Jetten,D66,2023-08-12,ongoing,D66 partijleider since 12 Aug 2023; PM since 23 Feb 2026
PieterOmtzigt,Pieter Omtzigt,NSC,2021-09-15,2025-04-18,independent MP (Lid Omtzigt) from 15 Sep 2021; NSC leader 19 Aug 2023; left politics 18 Apr 2025 (burnout)
Nvanvroonhoven,Nicolien van Vroonhoven,NSC,2025-04-18,2025-09-01,NSC leader after Omtzigt, 18 Apr - 1 Sep 2025
vanHijum,Eddy van Hijum,NSC,2025-09-02,2025-11-12,NSC lijsttrekker 2 Sep 2025 until the party lost all seats at the 2025 election
emileroemer,Emile Roemer,SP,2017-01-01,2017-12-13,SP politiek leider until 13 Dec 2017 (handover to Marijnissen)
F__Timmermans,Frans Timmermans,GroenLinks-PvdA,2023-08-22,2025-10-29,GL-PvdA lijsttrekker 22 Aug 2023; stepped down 29 Oct 2025 after election loss
HenriBontenbal,Henri Bontenbal,CDA,2023-09-05,ongoing,CDA lijsttrekker since 14 Aug 2023; window per Onboarding doc
mirjambikker,Mirjam Bikker,ChristenUnie,2023-01-17,ongoing,CU politiek leider since 17 Jan 2023
markrutte,Mark Rutte,VVD,2006-05-31,2023-08-14,VVD politiek leider 31 May 2006; PM 2010-2024; succeeded as party leader by Yesilgoz 14 Aug 2023
keesvdstaaij,Kees van der Staaij,SGP,2010-03-27,2023-09-05,SGP fractievoorzitter from 2010; stepped down 25 Aug 2023 (succeeded by Stoffer); window per Onboarding doc
chris_stoffer,Chris Stoffer,SGP,2023-09-05,ongoing,SGP politiek leider/lijsttrekker since 25 Aug 2023; window per Onboarding doc
lientje1967,Caroline van der Plas,BBB,2021-03-31,ongoing,BBB founder/leader; entered Tweede Kamer 31 Mar 2021; window per Onboarding doc
tunahankuzu,Tunahan Kuzu,DENK,2015-02-09,2020-03-20,DENK co-founder & fractievoorzitter from 2015 (leadership rotated with Azarkan, who has no X account); window per Onboarding doc
StephanvBaarle,Stephan van Baarle,DENK,2023-08-02,ongoing,DENK politiek leider/lijsttrekker since 3 Aug 2023; window per Onboarding doc
HenkKrol,Henk Krol,50PLUS,2016-10-08,2020-05-03,50PLUS fractievoorzitter through 2017 election; left the party May 2020
SylvanaBIJ1,Sylvana Simons,BIJ1,2021-03-31,2023-12-06,BIJ1 founder/leader; window set to the BIJ1 seat period (entered TK 31 Mar 2021, lost seat 6 Dec 2023) per Matteo 2026-08-19
