handle,name,party,seat_start,seat_end,notes
VVD,VVD,VVD,2017-01-01,ongoing,33/34/24/22 seats (2017/2021/2023/2025)
GroenLinks,GroenLinks,GroenLinks,2017-01-01,2026-06-13,14/8 seats 2017/2021; joint GL-PvdA list from 2023; merged into PRO 13 Jun 2026
PvdA,PvdA,PvdA,2017-01-01,2026-06-13,9/9 seats 2017/2021; joint GL-PvdA list from 2023; merged into PRO 13 Jun 2026
SPnl,SP,SP,2017-01-01,ongoing,14/9/5/3 seats (2017/2021/2023/2025)
cdavandaag,CDA,CDA,2017-01-01,ongoing,19/15/5/18 seats (2017/2021/2023/2025)
ChristenUnie,ChristenUnie,ChristenUnie,2017-01-01,ongoing,5/5/3/3 seats (2017/2021/2023/2025)
VoltNederland,Volt,Volt,2021-03-31,ongoing,entered 2021 (3 seats); 2/1 seats 2023/2025
PartijvdDieren,Partij voor de Dieren,PvdD,2017-01-01,ongoing,5/6/3/3 seats (2017/2021/2023/2025)
fvdemocratie,Forum voor Democratie,FvD,2017-03-23,ongoing,entered at 2017 election (2 seats); 8/3/7 seats 2021/2023/2025
denknl,DENK,DENK,2017-01-01,ongoing,3 seats every election 2017-2025; seated since 2014 (Groep Kuzu/Ozturk)
D66,D66,D66,2017-01-01,ongoing,19/24/9/26 seats (2017/2021/2023/2025)
SGPnieuws,SGP,SGP,2017-01-01,ongoing,3 seats every election 2017-2025
BoerBurgerB,BBB,BBB,2021-03-31,ongoing,entered 2021 (1 seat); 7/4 seats 2023/2025
JuisteAntwoord,JA21,JA21,2021-03-31,ongoing,entered 2021 (3 seats); 1/9 seats 2023/2025
NwSocContract,NSC,NSC,2023-12-06,2025-11-12,entered 2023 (20 seats; Omtzigt); lost all seats at 2025 election
50pluspartij,50PLUS,50PLUS,2017-01-01,2021-05-06,4 seats 2017; sole 2021 MP Den Haan left party 6 May 2021
50pluspartij,50PLUS,50PLUS,2025-11-12,ongoing,returned at 2025 election (2 seats); out of parliament 2021-2025
progressiefned,Progressief Nederland (PRO),PRO,2026-06-13,ongoing,formed 13 Jun 2026 from GL+PvdA merger; 20 seats
